	median_1	median_2	median_3	median_4	median_5	median_6	median_7	median_8	median_9	median_10	median_11	median_12	median_13	median_14	median_15	median_16	median_17	median_18	median_19	median_20	median_21	median_22	median_23	median_24	median_25	median_26	median_27	median_28	median_29	median_30	median_31	median_32	median_33	median_34	median_35	median_36	median_37	median_38	median_39	median_40	median_41	median_42	median_43	median_44	median_45	median_46	median_47	median_48	std_1	std_2	std_3	std_4	std_5	std_6	std_7	std_8	std_9	std_10	std_11	std_12	std_13	std_14	std_15	std_16	std_17	std_18	std_19	std_20	std_21	std_22	std_23	std_24	std_25	std_26	std_27	std_28	std_29	std_30	std_31	std_32	std_33	std_34	std_35	std_36	std_37	std_38	std_39	std_40	std_41	std_42	std_43	std_44	std_45	std_46	std_47	std_48	median_profile	median_std
Tb927.10.3210	688310000.0	276010000.0	215760000.0	199840000.0	171215000.0	190955000.0	93088000.0	139705000.0	176220000.0	202745000.0	209130000.0	214055000.0	314145000.0	309050000.0	419170000.0	534105000.0	658245000.0	955535000.0	1171820000.0	1809150000.0	3068150000.0	13184500000.0	90750000000.0	256030000000.0	307625000000.0	156655000000.0	50931000000.0	13102450000.0	3295550000.0	890105000.0	229954500.0	53330000.0	25337500.0	39359500.0	1905000.0	5624050.0	2381550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41560000.0	1258930000.0	693180000.0	2658850000.0	705143051.7750754	225899342.8314183	75384793.11726823	35974928.65408724	69500646.9993865	69210967.57980871	42868134.88186768	77488777.25838755	67476437.19785942	60749315.77118105	63591159.959541544	63687612.871996805	100550229.69474842	108965868.81527016	166776655.51569265	212985766.24976614	384479030.7567717	409377946.51356906	521455555.62451	478817782.8429792	851135018.6662517	5794583743.462506	36007367408.16617	74173546047.9902	75405401829.04678	34197264023.115475	22917651775.796467	8605594961.80634	3202696487.3368816	926435113.7919301	273684128.67193574	76588752.87316452	31923802.931094117	55727324.508867875	32023405.95564438	24824375.942793943	4147000.5404508933	1124200.0	12362000.0	6832000.0	0.0	15732500.0	12511000.0	11528000.0	371588328.2612628	1098753895.814102	3632360910.078549	22645597800.38201	0.9903666864937997	0.008116277913331858
Tb927.5.2310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61386500.0	152585000.0	98044000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37733499.65547855	56081769.57725805	53846781.048947886	43547000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8939166844965813	0.0634406874990903
Tb927.8.7570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129720000.0	345895000.0	386630000.0	180830000.0	102382000.0	0.0	0.0	0.0	138347000.0	394580000.0	376365000.0	229695000.0	54605000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41827444.42249212	144991524.2063021	29150275.584746476	39296986.313626304	57753618.72356282	21499000.0	0.0	0.0	61125330.975927375	61337727.0391831	123543509.84572205	75736810.51289833	89203615.53771237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9220575582908956	0.018234158244030955
Tb927.3.3880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110380000.0	101472500.0	56420000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202145000.0	329270000.0	253550000.0	165110000.0	0.0	91555000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37947500.0	56610022.080900125	64230098.393069066	74757952.69846992	63020000.0	48295500.0	41226500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52610000.0	103030000.0	0.0	0.0	52555000.0	101898253.62422393	93384878.99547763	238233953.97172084	123299473.2348845	88715000.0	109271097.23832129	0.0	0.0	0.0	0.0	0.677671915152468	0.15757339777791332
Tb927.7.5640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	264930000.0	451700000.0	428980000.0	248410000.0	217445000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17325500.0	6488500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95235000.0	340013722.9951168	210498090.78706634	178343408.81195095	63872394.33693819	108407717.59119982	0.0	0.0	0.0	0.0	0.0	0.0	0.9062466296482399	0.09303389515231547
Tb927.9.8290	55912500.0	66077500.0	81801000.0	90467500.0	108440000.0	132055000.0	184440000.0	173705000.0	170140000.0	134640000.0	109078500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34155983.23744563	13833817.896131687	21619480.166430153	27645041.428497326	19328532.30330746	21463638.24393867	45458228.07809385	52697637.755406074	45339668.38211325	22846658.946112886	36820127.70664074	26617500.0	25753500.0	20214500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9374025184807621	0.03344779288683406
Tb11.02.5090b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126815000.0	103834500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13371664.069965264	23328846.626369394	36310500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9489926134613529	0.046644728130874225
Tb927.10.9740	564285000.0	462025000.0	488530000.0	498095000.0	517790000.0	561780000.0	614185000.0	821565000.0	1217000000.0	1671700000.0	2702850000.0	2856850000.0	2887450000.0	2624450000.0	2075800000.0	1307700000.0	679300000.0	344410000.0	170220000.0	71555000.0	65226500.0	42272500.0	28977500.0	25600500.0	2887300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48179000.0	176225000.0	13722500.0	256855000.0	387685000.0	149330000.0	123425000.0	184820749.64678615	82295865.1755969	124023428.80144335	129993104.7850873	46514564.385792114	109907454.21338212	71746164.12510614	111758970.5198943	355321395.30055475	547493353.5897942	568948673.7249087	653031649.9476365	732657584.8694029	661398011.1601977	496438840.6440405	418868649.60868096	128990571.23164727	68289527.25955373	64403890.34574439	59989811.51481753	35701708.32864071	27799320.88349162	24099328.63518539	15846650.085007451	19075301.850997448	0.0	7270000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26994000.0	16156000.0	41374000.0	29583000.0	93889652.39932816	28886022.5714791	161360334.8810254	34340527.07807497	276545259.02945197	440962824.54798084	85205073.93929073	0.9592686573198266	0.013649878195103203
Tb927.6.1260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137455500.0	175845000.0	576495000.0	2090065000.0	8458550000.0	11729000000.0	8303200000.0	3765250000.0	1701850000.0	242885000.0	7315000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57680000.0	0.0	0.0	0.0	72285000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22943500.0	125511081.13197283	114127079.02450962	733655831.9073505	2954251119.0754137	3002960808.935075	1428786314.7907488	915057428.0703164	3520223126.066253	1041700133.1277316	309888528.1704805	64476573.00653212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137109067.41228557	71915000.0	0.0	84140000.0	100490669.71614827	0.0	0.0	0.9184236406828731	0.043829788002329464
Tb927.7.1610	0.0	0.0	0.0	11508500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7678547.475488664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
