cut_distance,CC,MF,BP
0.09,0,1,0
0.1,1,2,0
0.11,1,2,0
0.12,2,3,2
0.13,4,5,2
0.14,4,5,2
0.15,8,9,3
0.16,8,9,3
0.17,8,9,3
0.18,8,9,3
0.19,9,10,6
0.2,9,10,6
0.21,8,9,7
0.22,8,10,8
0.23,8,10,8
0.24,8,10,8
0.25,9,11,9
0.26,9,11,9
0.27,10,13,11
0.28,10,13,11
0.29,11,15,14
0.3,11,15,14
0.31,12,15,14
0.32,13,16,16
0.33,14,16,16
0.34,14,16,16
0.35,16,17,17
0.36,16,17,17
0.37,16,17,17
0.38,15,15,16
0.39,15,16,17
0.4,17,20,18
0.41,19,23,22
0.42,19,25,24
0.43,19,28,26
0.44,21,29,26
0.45,21,30,26
0.46,21,30,26
0.47,21,30,26
0.48,22,33,27
0.49,22,33,27
0.5,22,33,27
0.51,21,34,31
0.52,21,34,31
0.53,21,34,31
0.54,21,34,31
0.55,22,34,33
0.56,21,34,36
0.57,21,34,37
0.58,23,36,38
0.59,23,37,39
0.6,22,38,38
0.61,22,41,40
0.62,22,39,41
0.63,22,38,41
0.64,24,39,43
0.65,24,39,42
0.66,24,40,43
0.67,24,40,43
0.68,24,40,43
0.69,27,42,44
0.7,27,42,44
0.71,27,42,44
0.72,28,43,44
0.73,28,42,43
0.74,28,42,43
0.75,28,42,44
0.76,28,41,44
0.77,28,41,44
0.78,28,41,44
0.79,29,41,44
0.8,29,41,43
0.81,30,41,44
0.82,30,42,44
0.83,30,42,44
0.84,30,44,43
0.85,33,44,43
0.86,33,44,42
0.87,33,44,42
0.88,33,44,41
0.89,33,44,41
0.9,33,45,41
0.91,33,45,41
0.92,32,45,41
0.93,32,45,41
0.94,32,45,41
0.95,32,44,40
0.96,30,42,40
0.97,30,43,40
0.98,30,43,40
0.99,30,43,40
1.0,30,43,39
1.01,30,43,39
1.02,30,43,39
1.03,30,43,39
1.04,32,45,41
1.05,32,46,42
1.06,33,47,42
1.07,33,47,42
1.08,33,50,45
1.09,33,49,45
1.1,33,48,45
1.11,33,48,45
1.12,33,48,45
1.13,33,48,45
1.14,34,48,45
1.15,34,48,45
1.16,34,49,45
1.17,35,49,45
1.18,35,51,46
1.19,35,51,46
1.2,35,52,46
1.21,35,52,46
1.22,35,52,46
1.23,35,52,46
1.24,36,52,46
1.25,36,53,45
1.26,36,56,47
1.27,36,56,46
1.28,36,56,46
1.29,36,56,47
1.3,38,57,46
1.31,38,57,46
1.32,38,57,46
1.33,38,57,46
1.34,39,56,46
1.35,40,57,46
1.36,40,57,46
1.37,40,57,45
1.38,40,57,46
1.39,39,57,46
1.4,39,57,46
1.41,39,57,45
1.42,39,57,45
1.43,39,57,45
1.44,39,57,45
1.45,39,57,45
1.46,39,57,45
1.47,40,58,46
1.48,41,58,46
1.49,41,58,46
1.5,41,58,46
1.51,41,58,46
1.52,41,58,46
1.53,40,56,44
1.54,40,56,44
1.55,40,55,43
1.56,40,55,43
1.57,40,55,43
1.58,40,54,43
1.59,39,54,43
1.6,38,54,43
1.61,37,55,44
1.62,37,55,44
1.63,37,55,44
1.64,36,55,45
1.65,36,55,45
1.66,36,55,45
1.67,36,55,45
1.68,36,54,44
1.69,36,54,43
1.7,36,55,44
1.71,37,55,45
1.72,37,55,45
1.73,37,55,45
1.74,37,54,45
1.75,37,54,45
1.76,37,53,45
1.77,37,53,45
1.78,37,53,45
1.79,36,53,45
1.8,36,53,45
1.81,36,50,44
1.82,36,50,44
1.83,36,49,43
1.84,39,50,43
1.85,40,51,44
1.86,40,51,44
1.87,40,51,44
1.88,41,51,46
1.89,41,51,46
1.9,41,51,46
1.91,41,50,45
1.92,41,50,45
1.93,41,50,45
1.94,41,49,45
1.95,41,49,45
1.96,41,49,46
1.97,41,49,46
1.98,41,49,46
1.99,41,48,45
2.0,41,48,45
2.01,41,48,45
2.02,41,48,45
2.03,41,49,46
2.04,41,48,46
2.05,41,48,46
2.06,41,48,46
2.07,41,48,46
2.08,41,48,46
2.09,43,48,46
2.1,43,48,46
2.11,43,48,46
2.12,43,46,46
2.13,43,46,46
2.14,43,46,46
2.15,42,46,46
2.16,42,46,46
2.17,42,46,46
2.18,42,46,46
2.19,42,46,46
2.2,42,46,46
2.21,42,46,46
2.22,42,46,45
2.24,42,46,45
2.25,41,46,45
2.26,41,46,45
2.27,40,46,44
2.28,38,45,44
2.29,38,45,44
2.3,39,45,42
2.31,39,45,42
2.32,39,45,42
2.33,39,46,42
2.34,39,46,42
2.35,39,45,41
2.36,39,45,41
2.37,39,45,41
2.38,39,44,41
2.39,39,44,41
2.4,39,44,40
2.41,38,43,38
2.42,38,43,37
2.43,38,43,37
2.44,38,43,37
2.45,38,43,37
2.46,38,43,37
2.48,38,43,37
2.49,38,43,37
2.5,38,43,37
2.51,38,43,37
2.52,37,42,36
2.53,37,42,36
2.55,37,42,36
2.56,38,41,36
2.57,38,41,36
2.58,38,41,36
2.61,38,41,36
2.62,38,41,36
2.63,38,41,36
2.65,38,41,36
2.66,39,41,36
2.68,39,41,36
2.7,39,41,36
2.71,38,41,36
2.72,38,41,36
2.73,38,41,36
2.74,38,41,36
2.75,38,41,36
2.76,39,41,36
2.79,39,41,35
2.8,39,41,35
2.81,39,41,35
2.83,39,41,34
2.84,39,41,34
2.85,38,41,34
2.86,38,41,34
2.87,38,43,35
2.89,38,43,35
2.9,38,43,35
2.93,38,43,35
2.95,38,44,36
2.98,38,44,36
2.99,38,45,36
3.0,39,45,36
3.01,39,45,36
3.02,39,45,36
3.03,39,45,36
3.04,39,45,36
3.05,40,45,38
3.06,40,45,38
3.1,40,45,38
3.11,40,45,38
3.12,40,45,38
3.14,43,47,39
3.16,43,47,38
3.18,43,47,38
3.21,43,47,38
3.22,43,47,38
3.23,43,47,38
3.24,43,47,38
3.25,42,47,38
3.26,42,47,37
3.28,42,47,37
3.29,42,47,37
3.36,42,47,37
3.39,42,47,37
3.42,42,47,37
3.44,41,46,36
3.46,41,46,36
3.48,41,46,36
3.49,41,46,36
3.51,41,46,36
3.52,40,44,35
3.54,40,44,35
3.55,37,44,33
3.58,37,44,33
3.59,37,44,33
3.61,37,44,33
3.62,37,44,33
3.63,37,44,34
3.66,37,44,34
3.73,37,44,34
3.77,38,44,34
3.79,37,43,33
3.82,37,43,33
3.86,37,43,33
3.87,39,43,33
3.88,39,43,33
3.91,39,43,33
3.92,39,42,33
3.94,39,42,33
4.07,39,41,33
4.09,39,42,33
4.12,39,42,33
4.13,38,43,35
4.18,38,40,34
4.2,38,40,34
4.22,38,40,34
4.23,38,40,34
4.25,38,40,34
4.27,37,40,34
4.28,36,40,34
4.29,36,40,34
4.3,36,40,34
4.31,35,40,34
4.33,35,40,34
4.34,35,40,34
4.45,35,40,34
4.48,35,40,34
4.54,35,40,34
4.6,35,40,34
4.65,36,40,33
4.72,35,37,32
4.74,34,35,30
4.83,34,35,30
4.84,34,35,30
4.85,34,36,31
4.88,34,36,31
4.89,34,37,30
4.9,34,37,30
5.03,34,35,29
5.05,35,36,30
5.07,35,36,30
5.24,35,35,29
5.28,35,33,29
5.3,35,33,29
5.36,35,33,29
5.39,35,33,29
5.44,35,33,29
5.47,35,33,29
5.62,35,34,27
5.64,35,34,27
5.73,36,32,24
5.79,36,32,24
5.89,36,33,25
5.91,38,32,25
5.92,38,32,25
6.0,38,31,25
6.17,38,31,25
6.47,38,31,23
6.48,38,31,23
6.61,37,30,24
6.63,37,30,24
6.65,38,30,24
6.76,38,31,24
6.89,38,31,24
6.91,38,31,24
6.96,38,32,24
7.04,36,31,25
7.18,36,31,25
7.22,36,30,25
7.38,36,30,26
7.84,36,30,26
7.93,36,29,26
8.05,36,29,26
8.12,37,30,26
8.48,37,30,24
8.53,37,28,23
8.58,37,28,23
8.85,37,28,23
9.7,37,27,22
9.74,37,27,23
9.76,38,27,23
10.0,38,27,23
10.39,38,27,23
10.4,38,28,23
11.41,38,29,23
12.13,38,29,24
12.81,39,31,25
12.98,37,28,23
13.03,36,23,21
13.7,40,28,23
13.95,41,28,23
14.89,38,26,20
15.86,38,26,20
16.0,38,25,18
16.38,38,26,18
18.36,32,24,17
18.44,34,24,17
18.73,34,24,17
19.35,35,24,18
22.61,34,24,18
23.11,33,20,19
23.53,33,19,16
29.65,35,22,16
31.42,35,20,16
