cut_distance,CC,MF,BP
0.18,0,1,1
0.19,0,1,1
0.2,0,1,1
0.21,0,1,1
0.22,0,1,1
0.23,0,1,1
0.24,0,1,1
0.25,0,1,1
0.26,0,1,1
0.27,0,1,1
0.28,0,1,1
0.29,0,1,1
0.3,0,1,1
0.31,0,1,1
0.32,0,1,1
0.33,0,1,1
0.34,0,1,1
0.35,0,1,1
0.36,0,1,1
0.82,0,0,1
0.83,0,0,1
0.84,0,0,1
0.85,0,0,1
0.86,0,0,1
0.87,0,0,1
0.88,0,0,1
0.89,0,0,1
0.9,0,0,1
0.91,0,0,1
0.92,0,0,1
0.93,0,0,1
0.94,0,0,1
0.95,0,0,1
0.96,0,0,1
0.97,0,0,1
0.98,0,0,1
0.99,0,0,1
1.0,0,0,1
1.01,0,0,1
1.02,0,0,1
1.03,0,0,1
1.04,0,0,1
1.05,0,0,1
1.06,0,0,1
1.07,0,0,1
1.08,0,0,1
1.09,0,0,1
1.1,0,0,1
1.11,0,0,1
1.12,0,0,1
1.13,0,0,1
1.14,0,0,1
1.15,0,0,1
1.16,0,0,1
1.17,0,0,1
1.18,0,0,1
1.19,0,0,1
1.2,0,0,1
1.21,0,0,1
1.22,0,0,1
1.23,0,0,1
1.24,0,0,1
1.25,0,0,1
1.26,0,0,1
1.27,0,0,2
1.28,0,0,2
1.29,0,0,2
1.3,0,0,2
1.31,0,0,2
1.32,0,0,2
1.33,0,0,2
1.34,0,0,2
1.35,0,0,2
1.36,0,0,2
1.37,0,0,2
1.38,0,0,2
1.39,0,0,2
1.4,0,0,2
1.41,0,0,2
1.42,0,0,2
1.43,0,0,2
1.44,0,0,2
1.45,0,0,2
1.46,0,0,1
1.47,0,0,1
1.48,0,0,1
1.49,0,0,1
1.5,0,0,1
1.51,0,0,1
1.52,0,0,1
1.53,0,0,1
1.54,0,0,1
1.55,0,0,1
1.56,0,0,1
1.57,0,0,1
1.58,0,0,1
1.59,0,0,1
1.6,0,0,1
1.61,0,0,1
1.62,0,0,1
1.63,0,0,1
1.64,0,0,1
1.65,0,0,1
1.66,0,0,1
1.67,0,0,1
1.68,0,0,1
1.69,0,0,1
1.7,0,0,1
1.71,0,0,1
1.72,0,0,1
1.73,0,0,1
1.74,0,0,1
1.75,0,0,1
1.76,0,0,1
1.77,0,0,1
1.78,0,0,1
1.79,0,0,1
1.8,0,0,1
1.81,0,0,1
1.82,0,0,1
1.83,0,0,1
1.84,0,0,1
1.85,0,0,1
1.86,0,0,1
1.87,0,0,1
1.88,0,0,1
1.89,0,0,1
1.9,0,0,1
1.91,0,0,1
1.92,0,0,1
1.93,0,0,1
1.94,0,1,3
1.95,0,1,3
1.96,0,1,3
1.97,0,1,3
1.98,0,1,3
1.99,0,1,3
2.0,0,1,3
2.01,0,1,3
2.02,0,1,3
2.03,0,1,3
2.04,0,1,3
2.05,0,1,3
2.06,0,1,3
2.07,0,1,3
2.08,0,1,3
2.09,0,1,3
2.1,0,1,3
2.11,0,1,3
2.12,0,1,3
2.13,0,1,3
2.14,0,1,3
2.15,0,1,3
2.16,0,1,3
2.17,0,1,3
2.18,0,1,2
2.19,0,1,2
2.2,0,1,2
2.21,0,1,2
2.22,0,1,2
2.24,0,1,2
2.25,0,1,2
2.26,0,1,2
2.27,0,1,2
2.28,0,1,2
2.29,0,1,2
2.3,0,3,4
2.31,0,3,4
2.32,0,3,4
2.33,0,3,4
2.34,0,3,4
2.35,0,3,4
2.36,0,3,4
2.37,0,3,4
2.38,0,3,4
2.39,0,3,4
2.4,0,3,4
2.41,0,3,4
2.42,0,3,4
2.43,0,3,4
2.44,0,3,4
2.45,0,3,4
2.46,0,3,4
2.48,0,3,4
2.49,0,3,4
2.5,0,3,4
2.51,0,3,4
2.52,0,3,4
2.53,0,3,4
2.55,0,3,4
2.56,0,3,4
2.57,0,3,4
2.58,0,3,4
2.61,0,3,4
2.62,0,3,4
2.63,0,3,4
2.65,0,3,4
2.66,0,3,4
2.68,0,3,4
2.7,0,3,4
2.71,0,3,4
2.72,0,3,4
2.73,0,3,4
2.74,0,3,4
2.75,0,3,4
2.76,0,3,4
2.79,0,3,4
2.8,0,3,4
2.81,0,3,4
2.83,0,3,4
2.84,0,3,4
2.85,0,3,4
2.86,0,3,4
2.87,0,3,4
2.89,0,3,4
2.9,1,4,5
2.93,1,4,5
2.95,1,4,5
2.98,1,4,5
2.99,1,4,5
3.0,1,4,5
3.01,1,4,5
3.02,1,4,5
3.03,1,4,5
3.04,1,4,5
3.05,1,4,5
3.06,1,4,5
3.1,1,4,5
3.11,1,4,5
3.12,1,4,5
3.14,1,4,5
3.16,1,4,5
3.18,1,4,5
3.21,1,4,5
3.22,1,4,5
3.23,1,4,5
3.24,1,4,5
3.25,1,4,5
3.26,1,4,5
3.28,1,4,5
3.29,1,4,5
3.36,1,4,5
3.39,1,4,5
3.42,1,4,5
3.44,1,4,5
3.46,1,4,5
3.48,1,4,5
3.49,1,4,5
3.51,1,4,5
3.52,1,3,3
3.54,1,3,3
3.55,1,3,3
3.58,1,3,3
3.59,1,3,3
3.61,1,3,3
3.62,1,3,3
3.63,1,3,3
3.66,1,3,3
3.73,1,3,3
3.77,1,2,1
3.79,1,2,1
3.82,1,2,1
3.86,1,2,1
3.87,1,2,1
3.88,1,2,1
3.91,1,2,1
3.92,1,2,1
3.94,1,2,1
4.07,1,2,1
4.09,1,2,1
4.12,1,2,1
4.13,1,2,1
4.18,1,2,1
4.2,1,2,1
4.22,1,2,1
4.23,1,2,1
4.25,1,2,1
4.27,0,1,0
4.28,0,1,0
4.29,0,1,0
4.3,0,1,0
4.31,0,1,0
4.33,0,1,0
4.34,0,1,0
4.45,0,1,0
4.48,0,1,0
4.54,0,1,0
4.6,0,1,0
4.65,0,3,1
4.72,0,3,1
4.74,0,3,1
4.83,0,3,1
4.84,0,3,1
4.85,0,3,1
4.88,0,3,1
4.89,0,3,1
4.9,0,3,1
5.03,0,3,1
5.05,0,2,0
5.07,0,2,0
5.24,0,2,0
5.28,0,2,0
5.3,0,2,0
5.36,0,2,0
5.39,0,2,0
5.44,0,2,0
5.47,0,2,0
5.62,0,2,0
5.64,0,2,0
5.73,0,2,0
5.79,0,2,0
5.89,0,2,0
5.91,0,2,0
5.92,0,2,0
6.0,0,2,0
6.17,0,2,0
6.47,0,2,0
6.48,0,2,0
6.61,0,2,0
6.63,0,2,0
6.65,0,2,0
6.76,0,2,0
6.89,0,2,0
6.91,0,2,0
6.96,0,2,0
7.04,0,2,0
7.18,0,2,0
7.22,0,2,0
7.38,0,2,0
7.84,0,2,0
7.93,0,2,0
8.05,0,2,0
8.12,0,2,0
8.48,0,2,0
8.53,0,2,0
8.58,0,2,0
8.85,0,2,0
9.7,0,2,0
9.74,0,2,0
9.76,0,2,0
10.0,0,2,0
10.39,0,2,0
10.4,0,2,0
11.41,0,2,0
12.13,0,2,0
12.81,0,2,0
12.98,0,2,0
13.03,0,2,0
13.7,0,2,0
13.95,0,2,0
14.89,0,2,0
15.86,0,2,0
16.0,0,2,0
16.38,0,2,0
18.36,0,2,0
