[Gene ID]	[source_id]	[Product Description]	[Curated GO Functions]	[Computed GO Functions]	[Evidence Code]	[Computed GO Function IDs]	[Curated GO Function IDs]	[Computed GO Component IDs]	[Computed GO Components]	[Computed GO Process IDs]	[Computed GO Processes]	[Curated GO Component IDs]	[Curated GO Components]	[Curated GO Process IDs]	[Curated GO Processes]	
Tb04.24M18.150	Tb04.24M18.150:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb05.5K5.150	Tb05.5K5.150:mRNA	small GTP-binding protein, putative	N/A	GTP binding	IEA	GO:0005525	N/A	GO:0005622	intracellular	GO:0006886, GO:0007264	intracellular protein transport, small GTPase mediated signal transduction	N/A	N/A	N/A	N/A	
Tb05.5K5.170	Tb05.5K5.170:mRNA	elongation of very long chain fatty acids protein, putative	N/A	N/A	IEA	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	
Tb05.5K5.180	Tb05.5K5.180:mRNA	receptor-type adenylate cyclase GRESAG 4, putative	N/A	phosphorus-oxygen lyase activity	IEA	GO:0016849	N/A	N/A	N/A	GO:0009190, GO:0035556	cyclic nucleotide biosynthetic process, intracellular signal transduction	N/A	N/A	N/A	N/A	
Tb05.5K5.190	Tb05.5K5.190:mRNA	receptor-type adenylate cyclase GRESAG 4, putative	N/A	phosphorus-oxygen lyase activity	IEA	GO:0016849	N/A	N/A	N/A	GO:0009190, GO:0035556	cyclic nucleotide biosynthetic process, intracellular signal transduction	N/A	N/A	N/A	N/A	
Tb05.5K5.200	Tb05.5K5.200:mRNA	guanine deaminase, putative	N/A	guanine deaminase activity, zinc ion binding	IEA	GO:0008892, GO:0008270	N/A	N/A	N/A	GO:0006147	guanine catabolic process	N/A	N/A	N/A	N/A	
Tb05.5K5.230	Tb05.5K5.230:pseudogenic_transcript	RAB GTP-binding protein, degenerate	N/A	GTP binding	IEA	GO:0005525	N/A	N/A	N/A	GO:0007264	small GTPase mediated signal transduction	N/A	N/A	N/A	N/A	
Tb05.5K5.30	Tb05.5K5.30:mRNA	serine/threonine protein phosphatase, putative	N/A	hydrolase activity	IEA	GO:0016787	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb05.5K5.330	Tb05.5K5.330:pseudogenic_transcript	variant surface glycoprotein, point mutation	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb05.5K5.380	Tb05.5K5.380:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb05.5K5.400	Tb05.5K5.400:pseudogenic_transcript	variant surface glycoprotein, interrupted	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb05.5K5.480	Tb05.5K5.480:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb05.5K5.520	Tb05.5K5.520:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb05.5K5.70	Tb05.5K5.70:mRNA	nucleolar RNA helicase II, putative	N/A	ATP binding, RNA binding, helicase activity	IEA	GO:0005524, GO:0003723, GO:0004386	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A	
Tb05.5K5.80	Tb05.5K5.80:mRNA	protein kinase, putative	N/A	ATP binding, protein kinase activity	IEA	GO:0005524, GO:0004672	N/A	N/A	N/A	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	
Tb05.5K5.90	Tb05.5K5.90:mRNA	dynein light chain, putative	N/A	N/A	IEA	N/A	N/A	GO:0005875	microtubule associated complex	GO:0007017	microtubule-based process	N/A	N/A	N/A	N/A	
Tb07.11L3.90	Tb07.11L3.90:mRNA	zinc finger protein family member, putative	N/A	metal ion binding	IEA	GO:0046872	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb08.27P2.110	Tb08.27P2.110:mRNA	PAP2 superfamily, putative	N/A	catalytic activity	IEA	GO:0003824	N/A	GO:0016020	membrane	N/A	N/A	N/A	N/A	N/A	N/A	
Tb08.27P2.165	Tb08.27P2.165:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
